origin,destination,avg_route_delay
ABE,ATL,6.113065326633166
ABE,BNA,14.833333333333334
ABE,CLT,-14.084886128364388
ABE,DEN,-7.0
ABE,DTW,4.698630136986301
ABE,FLL,2.5428571428571427
ABE,MDW,-6.0
ABE,MYR,4.333333333333333
ABE,ORD,-3.014760147601476
ABE,PGD,15.306666666666667
ABE,PIE,18.77777777777778
ABE,SAV,-12.357142857142858
ABE,SFB,13.231481481481481
ABE,SRQ,-0.3225806451612903
ABI,DFW,7.219047619047619
ABI,IAH,-5.557377049180328
ABQ,ATL,-1.4173913043478261
ABQ,AUS,2.0669291338582676
ABQ,BUR,10.916666666666666
ABQ,BWI,-2.871794871794872
ABQ,DAL,3.0674662668665666
ABQ,DEN,4.845780795344326
ABQ,DFW,7.859929078014185
ABQ,HOU,1.626865671641791
ABQ,IAH,3.260143198090692
ABQ,JFK,37.68103448275862
ABQ,LAS,7.3418803418803416
ABQ,LAX,-0.2015810276679842
ABQ,MCI,9.850746268656716
ABQ,MCO,2.4444444444444446
ABQ,MDW,3.323404255319149
ABQ,MSP,-4.638888888888889
ABQ,OAK,-2.1555555555555554
ABQ,ORD,-2.377450980392157
ABQ,PDX,-1.7741935483870968
ABQ,PHX,1.5355555555555556
ABQ,SAN,3.7476635514018692
ABQ,SAT,-9.363636363636363
ABQ,SEA,-0.05154639175257732
ABQ,SFB,-37.4
ABQ,SFO,16.61572052401747
ABQ,SJC,4.931034482758621
ABQ,SLC,-1.2009803921568627
ABR,MSP,7.533132530120482
ABY,ATL,-2.403669724770642
ACK,BOS,14.333333333333334
ACK,CLT,31.5
ACK,DCA,7.607843137254902
ACK,EWR,52.357142857142854
ACK,HPN,5.375
ACK,JFK,11.103825136612022
ACK,LGA,35.93103448275862
ACK,ORD,10.666666666666666
ACK,PHL,-0.6
ACT,DFW,6.598052851182198
ACV,DEN,26.26530612244898
ACV,LAX,1.8738317757009346
ACV,PHX,-4.571428571428571
ACV,SFO,13.243243243243244
ACY,ATL,0.75
ACY,BOS,32.8
ACY,FLL,2.4655172413793105
ACY,MCO,7.951070336391437
ACY,MIA,11.18918918918919
ACY,MYR,-1.9085365853658536
ACY,PBI,2.504854368932039
ACY,RSW,-4.037914691943128
ACY,SJU,-4.25
ACY,TPA,-1.9074074074074074
ADK,ANC,8.147058823529411
ADK,CDB,17.428571428571427
ADQ,ANC,-0.08847184986595175
AEX,ATL,-2.569937369519833
AEX,CLT,-12.636363636363637
AEX,DFW,7.705653021442495
AEX,IAH,1.5030674846625767
AGS,ATL,-3.0216411181244363
AGS,AUS,-19.0
AGS,BOS,-11.0
AGS,CLT,9.91686460807601
AGS,DCA,17.00877192982456
AGS,DFW,3.8125
AGS,DTW,-9.0
AGS,LGA,-21.5
AGS,MIA,7.5
AGS,ORD,48.5
AGS,PHL,-6.75
AGS,PHX,-9.0
AKN,ANC,3.3759398496240602
AKN,DLG,1.0952380952380953
ALB,ATL,-2.3729603729603728
ALB,BNA,12.764705882352942
ALB,BWI,-2.192528735632184
ALB,CLT,2.0570264765784114
ALB,DCA,3.5856079404466503
ALB,DEN,4.674157303370786
ALB,DTW,-2.365168539325843
ALB,EWR,-3.8372093023255816
ALB,FLL,17.970238095238095
ALB,IAD,-1.0
ALB,LGA,6.133720930232558
ALB,MCO,9.098086124401913
ALB,MDW,-1.657718120805369
ALB,MIA,54.142857142857146
ALB,MSP,-11.096774193548388
ALB,MYR,6.114285714285714
ALB,ORD,3.991482112436116
ALB,PGD,27.565217391304348
ALB,PHL,5.074074074074074
ALB,PIE,33.29032258064516
ALB,RDU,-6.3076923076923075
ALB,RSW,-7.2
ALB,SAV,-2.5
ALB,SFB,16.38888888888889
ALB,TPA,6.454545454545454
ALO,ORD,0.3694029850746269
ALS,DEN,5.367816091954023
ALW,SEA,4.382716049382716
AMA,AUS,-7.413793103448276
AMA,AZA,-5.833333333333333
AMA,DAL,-0.06545454545454546
AMA,DEN,11.398876404494382
AMA,DFW,11.845744680851064
AMA,HOU,-11.0
AMA,IAH,7.437275985663082
AMA,LAS,-2.087719298245614
AMA,PHX,-3.9
ANC,ADK,-8.45
ANC,ADQ,0.13850415512465375
ANC,AKN,2.1709401709401708
ANC,ATL,23.866666666666667
ANC,BET,-0.8993288590604027
ANC,BLI,-6.0
ANC,BRW,8.25
ANC,CDB,24.2
ANC,CDV,1.5885714285714285
ANC,DEN,14.58695652173913
ANC,DFW,19.133333333333333
ANC,DLG,2.601769911504425
ANC,DTW,22.0
ANC,EWR,38.13333333333333
ANC,FAI,-1.1242937853107344
ANC,HNL,-8.14018691588785
ANC,IAH,4.666666666666667
ANC,JFK,10.4
ANC,JNU,2.6817359855334537
ANC,KOA,-20.17241379310345
ANC,LAS,-4.75
ANC,LAX,-9.243243243243244
ANC,MSP,-3.659340659340659
ANC,OGG,-2.945945945945946
ANC,OME,-1.247011952191235
ANC,ORD,0.03986710963455149
ANC,OTZ,3.497354497354497
ANC,PAE,21.25
ANC,PDX,-3.7373737373737375
ANC,PHX,-2.0
ANC,SCC,2.0513833992094863
ANC,SEA,-3.2123028391167194
ANC,SFO,30.52542372881356
ANC,SLC,-3.1320754716981134
APN,CIU,32.4
APN,DTW,-1.8185654008438819
APN,PLN,-6.155555555555556
ART,PHL,14.0
ASE,ATL,10.904761904761905
ASE,AUS,24.296296296296298
ASE,DEN,13.225903614457831
ASE,DFW,29.885644768856448
ASE,IAH,27.213043478260868
ASE,LAX,13.47846889952153
ASE,MSP,8.75
ASE,MTJ,-9.333333333333334
ASE,ORD,34.08599508599509
ASE,PHX,4.0
ASE,SFO,29.04861111111111
ASE,SLC,2.146067415730337
ASE,SNA,21.11111111111111
ATL,ABE,-2.162303664921466
ATL,ABQ,1.6997167138810199
ATL,ABY,0.5377574370709383
ATL,ACY,3.8653846153846154
ATL,AEX,-0.7612903225806451
ATL,AGS,0.14368370298939248
ATL,ALB,5.644705882352941
ATL,ANC,17.11320754716981
ATL,ASE,11.146341463414634
ATL,ATW,-3.506276150627615
ATL,AUS,1.8960511033681766
ATL,AVL,-0.9345794392523364
ATL,AVP,-4.642857142857143
ATL,BDL,1.2872687704026116
ATL,BGR,-5.0
ATL,BHM,1.0214814814814814
ATL,BMI,0.6506666666666666
ATL,BNA,0.8336820083682008
ATL,BOI,2.1444444444444444
ATL,BOS,4.390756302521009
ATL,BQK,4.33248730964467
ATL,BTR,-1.4877049180327868
ATL,BTV,-1.426356589147287
ATL,BUF,4.335115864527629
ATL,BUR,-5.029411764705882
ATL,BWI,2.471008737092931
ATL,BZN,-2.358974358974359
ATL,CAE,1.1723549488054608
ATL,CAK,-2.192857142857143
ATL,CHA,2.0855365474339034
ATL,CHO,0.710801393728223
ATL,CHS,1.5515759312320916
ATL,CID,-1.7087378640776698
ATL,CLE,5.370446735395189
ATL,CLT,0.8390105433901054
ATL,CMH,-0.18355776045357902
ATL,COS,7.037735849056604
ATL,CRW,1.3580470162748643
ATL,CSG,-0.35671342685370744
ATL,CVG,0.35638297872340424
ATL,DAB,0.11407407407407408
ATL,DAL,2.6673228346456694
ATL,DAY,-3.6091370558375635
ATL,DCA,2.154681647940075
ATL,DEN,5.650524616626312
ATL,DFW,8.404354032833691
ATL,DHN,2.286004056795132
ATL,DSM,-3.696652719665272
ATL,DTW,3.46756882874475
ATL,ECP,1.2502532928064842
ATL,EGE,-6.3283582089552235
ATL,ELM,7.333333333333333
ATL,ELP,4.280864197530864
ATL,EVV,-2.1572052401746724
ATL,EWN,-3.4842105263157896
ATL,EWR,9.014013234721682
ATL,EYW,3.4113207547169813
ATL,FAR,132.66666666666666
ATL,FAY,-1.6496478873239437
ATL,FCA,9.0
ATL,FLL,7.3493598862019915
ATL,FNT,-0.6044776119402985
ATL,FSD,3.5033557046979866
ATL,FSM,-2.2948717948717947
ATL,FWA,1.4868995633187774
ATL,GEG,-8.231481481481481
ATL,GNV,1.3164108618654073
ATL,GPT,-0.2570093457943925
ATL,GRB,0.7828571428571428
ATL,GRR,0.035541195476575124
ATL,GSO,-1.2122302158273381
ATL,GSP,-0.252465483234714
ATL,GTR,0.018442622950819672
ATL,HDN,2.6774193548387095
ATL,HHH,8.575949367088608
ATL,HNL,3.75968992248062
ATL,HOU,0.5734265734265734
ATL,HPN,5.511888111888112
ATL,HSV,-1.4591549295774648
ATL,IAD,2.6528829353523586
ATL,IAH,5.569907407407407
ATL,ICT,-2.1416666666666666
ATL,ILM,-0.5652173913043478
ATL,IND,1.2485804416403785
ATL,ISP,18.020833333333332
ATL,JAC,3.7066666666666666
ATL,JAN,-0.9965606190885641
ATL,JAX,2.501486620416254
ATL,JFK,10.881136950904393
ATL,LAS,4.067484662576687
ATL,LAX,3.968429684296843
ATL,LEX,0.4684512428298279
ATL,LFT,-2.4888438133874238
ATL,LGA,3.6247750449910017
ATL,LIT,-0.6622583926754833
ATL,LNK,9.857142857142858
ATL,MCI,2.1562073669849933
ATL,MCO,7.241668924410729
ATL,MDT,-3.4615384615384617
ATL,MDW,4.569491525423729
ATL,MEM,4.058162590879048
ATL,MGM,5.410364145658264
ATL,MHT,-0.48
ATL,MIA,7.375970300371246
ATL,MKE,2.014058106841612
ATL,MLB,2.3067292644757433
ATL,MLI,3.5434782608695654
ATL,MLU,-1.4413518886679921
ATL,MOB,2.942643391521197
ATL,MSN,-2.69022869022869
ATL,MSO,25.5
ATL,MSP,0.48693333333333333
ATL,MSY,3.008611955420466
ATL,MTJ,-0.4074074074074074
ATL,MYR,1.3511988716502115
ATL,OAJ,-1.7274678111587982
ATL,OAK,4.25
ATL,OGG,24.25
ATL,OKC,1.03125
ATL,OMA,0.1970217640320733
ATL,ONT,-1.1176470588235294
ATL,ORD,5.060757684060043
ATL,ORF,2.096223021582734
ATL,PBI,4.399055489964581
ATL,PDX,-2.4205298013245033
ATL,PHF,-2.9516129032258065
ATL,PHL,2.8723907050019695
ATL,PHX,2.991623711340206
ATL,PIA,4.695652173913044
ATL,PIT,0.4500393391030684
ATL,PNS,1.375796178343949
ATL,PSP,-6.673469387755102
ATL,PVD,0.8301435406698564
ATL,PWM,1.9634146341463414
ATL,RAP,-10.0
ATL,RDU,0.20149253731343283
ATL,RIC,1.9166666666666667
ATL,RNO,6.166666666666667
ATL,ROA,-2.0476190476190474
ATL,ROC,7.987277353689567
ATL,RST,-1.75
ATL,RSW,3.174139051332034
ATL,SAN,0.6972789115646258
ATL,SAT,0.8084615384615385
ATL,SAV,2.0744837758112094
ATL,SBN,0.47704590818363274
ATL,SDF,-0.15492957746478872
ATL,SEA,-0.5411007862759114
ATL,SFO,2.4584745762711866
ATL,SGF,0.9788867562380038
ATL,SHV,-0.3425559947299078
ATL,SJC,-3.1282894736842106
ATL,SJU,6.155948553054662
ATL,SLC,4.104748603351955
ATL,SMF,2.8878048780487804
ATL,SNA,-0.84375
ATL,SRQ,3.5693693693693693
ATL,STL,1.3166449934980493
ATL,STT,-0.41369047619047616
ATL,STX,1.9152542372881356
ATL,SWF,-7.428571428571429
ATL,SYR,5.1851015801354405
ATL,TLH,-1.0056689342403629
ATL,TPA,4.057342657342657
ATL,TRI,-1.0163934426229508
ATL,TTN,8.35897435897436
ATL,TUL,-2.828926905132193
ATL,TUS,2.212962962962963
ATL,TVC,0.4444444444444444
ATL,TYS,1.0546021840873634
ATL,VLD,9.394273127753303
ATL,VPS,-0.5179282868525896
ATL,XNA,-2.6443514644351462
ATW,ATL,-4.151832460732984
ATW,AZA,7.315789473684211
ATW,BNA,23.0
ATW,CLT,-9.829268292682928
ATW,DEN,19.23008849557522
ATW,DTW,1.2172774869109948
ATW,FLL,24.76923076923077
ATW,LAS,18.391304347826086
ATW,MSP,-1.5859375
ATW,ORD,-1.3198090692124105
ATW,PDX,-22.333333333333332
ATW,PGD,18.837209302325583
ATW,PIE,5.891304347826087
ATW,RAP,-12.0
ATW,SAV,8.857142857142858
ATW,SFB,34.09090909090909
ATW,SRQ,9.7
ATY,DEN,2.6265060240963853
ATY,ORD,9.90625
ATY,PIR,-7.090909090909091
AUS,ABQ,1.36328125
AUS,ACY,0.0
AUS,AGS,43.0
AUS,AMA,8.962264150943396
AUS,ASE,17.458333333333332
AUS,ATL,-0.572118286059143
AUS,AVL,7.857142857142857
AUS,BNA,3.66883963494133
AUS,BOI,3.4193548387096775
AUS,BOS,11.29725085910653
AUS,BUR,14.223684210526315
AUS,BWI,0.6104166666666667
AUS,BZN,3.588235294117647
AUS,CHS,9.153846153846153
AUS,CLE,-6.142857142857143
AUS,CLT,2.6642685851318944
AUS,CMH,6.203703703703703
AUS,CVG,10.06
AUS,DAL,2.6928
AUS,DCA,-1.4044117647058822
AUS,DEN,4.410295616717635
AUS,DFW,11.350750416898277
AUS,DSM,21.304347826086957
AUS,DTW,2.986733001658375
AUS,ECP,-1.92
AUS,EGE,44.0
AUS,ELP,7.868029739776952
AUS,EWR,9.34620886981402
AUS,FLL,5.7164179104477615
AUS,FSD,6.7894736842105265
AUS,GRR,15.857142857142858
AUS,HNL,62.27777777777778
AUS,HOU,3.0149812734082397
AUS,HRL,-1.0
AUS,IAD,-0.17456896551724138
AUS,IAH,3.7725779967159276
AUS,IND,6.4147286821705425
AUS,JAX,4.3076923076923075
AUS,JFK,5.418447694038245
AUS,LAS,8.385807504078304
AUS,LAX,3.9601347557551936
AUS,LBB,7.851851851851852
AUS,LGB,6.298165137614679
AUS,MAF,18.26829268292683
AUS,MCI,6.614035087719298
AUS,MCO,6.155208333333333
AUS,MDW,3.6473429951690823
AUS,MEM,13.666666666666666
AUS,MIA,9.6
AUS,MSP,2.378119001919386
AUS,MSY,9.284178187403993
AUS,OAK,2.024390243902439
AUS,OKC,14.10236220472441
AUS,OMA,-13.0
AUS,ONT,6.8474576271186445
AUS,ORD,1.5068592057761734
AUS,PBI,16.0
AUS,PDX,1.8
AUS,PGD,40.285714285714285
AUS,PHL,15.787037037037036
AUS,PHX,5.5905767668562145
AUS,PIT,3.869565217391304
AUS,PNS,-5.333333333333333
AUS,PSP,7.0227272727272725
AUS,PVU,5.25
AUS,RDU,9.571030640668523
AUS,RNO,15.518987341772151
AUS,RSW,28.333333333333332
AUS,SAN,7.3134535367545075
AUS,SDF,26.57894736842105
AUS,SEA,-2.21090387374462
AUS,SFB,6.96
AUS,SFO,3.3178206583427925
AUS,SGF,18.666666666666668
AUS,SJC,1.6499102333931777
AUS,SJU,17.19148936170213
AUS,SLC,8.674496644295303
AUS,SMF,10.573170731707316
AUS,SNA,14.081218274111675
AUS,SRQ,-1.5263157894736843
AUS,STL,-1.0842824601366743
AUS,TPA,5.0818858560794045
AUS,TUL,8.685950413223141
AUS,TYS,20.91304347826087
AUS,VPS,5.67741935483871
AUS,XNA,9.142857142857142
AVL,ATL,-0.975609756097561
AVL,AUS,5.076923076923077
AVL,BOS,10.677966101694915
AVL,BWI,16.048780487804876
AVL,CLT,1.6127348643006263
AVL,DCA,-3.6176470588235294
AVL,DEN,8.19047619047619
AVL,DFW,15.115702479338843
AVL,DTW,-11.5
AVL,EWR,-8.515873015873016
AVL,EYW,-2.9411764705882355
AVL,FLL,19.316498316498315
AVL,GSO,-20.333333333333332
AVL,HOU,10.428571428571429
AVL,IAD,12.083333333333334
AVL,LAS,17.666666666666668
AVL,LGA,11.725274725274724
AVL,MCO,-4.885714285714286
AVL,MDW,4.909090909090909
AVL,MIA,26.451612903225808
AVL,MSP,4.875
AVL,ORD,15.623693379790941
AVL,PBI,7.35
AVL,PGD,16.581632653061224
AVL,PHL,3.324324324324324
AVL,PHX,34.0
AVL,PIE,4.693989071038251
AVL,SFB,16.914027149321267
AVL,SRQ,20.78048780487805
AVL,TPA,17.846153846153847
AVL,VPS,-2.0
AVP,ATL,-7.883720930232558
AVP,CLT,-0.8391224862888482
AVP,DTW,5.8984375
AVP,EWR,-14.166666666666666
AVP,ORD,7.697749196141479
AZA,AMA,0.6666666666666666
AZA,ATW,10.75
AZA,BIL,8.109375
AZA,BIS,2.784313725490196
AZA,BLI,7.96875
AZA,BLV,-2.3636363636363638
AZA,BOI,6.413043478260869
AZA,BZN,7.616666666666666
AZA,CID,2.9239130434782608
AZA,CVG,5.510204081632653
AZA,DSM,6.287671232876712
AZA,EUG,4.343283582089552
AZA,FAR,3.9571428571428573
AZA,FCA,7.0
AZA,FNT,8.0
AZA,FSD,1.609375
AZA,FWA,7.181818181818182
AZA,GEG,0.18181818181818182
AZA,GFK,12.028571428571428
AZA,GJT,15.481481481481481
AZA,GRI,1.0
AZA,GRR,29.3625
AZA,GTF,12.15
AZA,HOU,15.076923076923077
AZA,ICT,4.408163265306122
AZA,IDA,11.930232558139535
AZA,JAC,-4.0
AZA,LAS,27.901960784313726
AZA,MCI,61.5
AZA,MEM,-1.7142857142857142
AZA,MFE,6.0
AZA,MFR,24.333333333333332
AZA,MLI,-2.8292682926829267
AZA,MOT,2.7454545454545456
AZA,MSO,4.416666666666667
AZA,MSP,-11.714285714285714
AZA,OAK,13.615384615384615
AZA,OGD,-2.5483870967741935
AZA,OMA,-2.5
AZA,PIA,4.426666666666667
AZA,PIE,-16.0
AZA,PIT,-0.6
AZA,PSC,13.028985507246377
AZA,PVU,14.92526690391459
AZA,RAP,15.535714285714286
AZA,RDM,10.0
AZA,RFD,-2.3492063492063493
AZA,SAN,2.3636363636363638
AZA,SBN,-1.0731707317073171
AZA,SCK,19.76923076923077
AZA,SGF,-0.6190476190476191
AZA,SGU,-1.3333333333333333
AZA,SMX,9.7
AZA,SNA,-4.0
AZA,SPI,-2.076923076923077
AZA,STC,-0.7735849056603774
AZA,TOL,-8.0
AZA,TUL,43.0
AZA,TVC,-4.0
AZA,XNA,-3.8636363636363638
AZO,DTW,-1.8808411214953271
AZO,MSP,-5.780821917808219
AZO,ORD,-2.596825396825397
BDL,ATL,-2.687005649717514
BDL,BNA,-0.11538461538461539
BDL,BTV,-5.0
BDL,BWI,-1.230563002680965
BDL,CLE,-10.538461538461538
BDL,CLT,-2.044205495818399
BDL,CVG,6.0
BDL,DCA,4.016551724137931
BDL,DEN,-1.134020618556701
BDL,DFW,0.8310502283105022
BDL,DTW,0.0088339222614841
BDL,FLL,8.149425287356323
BDL,IAD,4.234714003944773
BDL,IAH,-9.691358024691358
BDL,LAS,20.782608695652176
BDL,LAX,9.755555555555556
BDL,LGA,3.25
BDL,MCO,11.973425196850394
BDL,MDW,-1.9255663430420713
BDL,MIA,11.208333333333334
BDL,MSP,-4.925
BDL,MYR,-3.218543046357616
BDL,ORD,-1.0516717325227964
BDL,PBI,2.9045226130653266
BDL,PHL,1.7083333333333333
BDL,RDU,-9.736842105263158
BDL,RSW,12.995594713656388
BDL,SFO,11.705882352941176
BDL,SJU,36.192182410423456
BDL,STL,-10.66
BDL,TPA,7.283163265306122
BET,ANC,8.42356687898089
BFF,DEN,4.2178571428571425
BFF,LAR,-6.5
BFF,LBF,5.916666666666667
BFF,PIR,-27.333333333333332
BFL,DEN,-2.2813688212927756
BFL,DFW,8.512727272727274
BFL,PHX,14.302521008403362
BFL,SFO,2.0451977401129944
BFM,DEN,4.0
BFM,MCO,-5.0
BFM,ORD,16.8
BGM,DTW,9.26126126126126
BGM,LGA,18.81578947368421
BGR,ATL,-6.333333333333333
BGR,BOS,-8.222222222222221
BGR,CLT,1.1325301204819278
BGR,DCA,10.580821917808219
BGR,DFW,-16.666666666666668
BGR,DTW,-13.6
BGR,EWR,9.60126582278481
BGR,FLL,-9.11111111111111
BGR,IAD,-19.0
BGR,JFK,-2.28
BGR,LGA,6.438356164383562
BGR,ORD,0.31724137931034485
BGR,PHL,-0.5147058823529411
BGR,PIE,6.764705882352941
BGR,SFB,13.287037037037036
BHM,ATL,-3.284375
BHM,BWI,-2.756521739130435
BHM,CAE,-54.0
BHM,CLT,5.743702081051478
BHM,DAL,1.3604336043360434
BHM,DCA,7.955307262569832
BHM,DEN,7.647058823529412
BHM,DFW,16.275599128540303
BHM,DTW,8.578947368421053
BHM,FLL,-17.0
BHM,HOU,1.0904522613065326
BHM,IAH,18.32
BHM,LAS,6.524390243902439
BHM,LGA,6.008438818565401
BHM,MCO,6.164794007490637
BHM,MDW,3.407563025210084
BHM,MIA,5.7620689655172415
BHM,ORD,9.11
BHM,PHL,12.10126582278481
BHM,TPA,0.13450292397660818
BIH,DEN,9.772727272727273
BIH,LAX,-0.8888888888888888
BIH,SFO,-11.405405405405405
BIL,AZA,13.44
BIL,DEN,10.88689407540395
BIL,DFW,6.286274509803921
BIL,LAS,26.25
BIL,LAX,19.375
BIL,MSP,-5.145161290322581
BIL,ORD,12.882352941176471
BIL,PDX,-4.6
BIL,PHX,-2.1818181818181817
BIL,SAN,-22.75
BIL,SEA,3.7052023121387285
BIL,SLC,-2.128205128205128
BIS,AZA,13.23
BIS,DEN,12.921700223713646
BIS,DFW,9.160839160839162
BIS,LAS,19.24590163934426
BIS,MSP,-3.0241116751269037
BIS,ORD,12.45
BIS,PHX,-20.161290322580644
BIS,SFB,17.08695652173913
BJI,BRD,22.7
BJI,MSP,0.5507692307692308
BKG,DEN,-3.129032258064516
BKG,DFW,46.75
BKG,ORD,-12.6
BLI,ANC,-12.333333333333334
BLI,AZA,6.46875
BLI,DEN,56.0
BLI,KOA,-39.0
BLI,LAS,-0.009708737864077669
BLI,LAX,-5.6231884057971016
BLI,OAK,1.450777202072539
BLI,OGG,9.5
BLI,PSP,-7.814814814814815
BLI,SAN,-7.0
BLI,SEA,-0.31313131313131315
BLI,TUS,-7.0
BLV,AZA,-0.7142857142857143
BLV,CHS,1.6666666666666667
BLV,FLL,40.04761904761905
BLV,JAX,14.571428571428571
BLV,LAS,35.35294117647059
BLV,MYR,10.6
BLV,PGD,15.417721518987342
BLV,PIE,17.323076923076922
BLV,SAV,43.0
BLV,SFB,18.26086956521739
BLV,SRQ,16.0
BLV,VPS,19.87421383647799
BMI,ATL,-0.8897849462365591
BMI,DEN,15.233333333333333
BMI,DFW,5.366101694915254
BMI,DTW,-5.925925925925926
BMI,MCO,13.037037037037036
BMI,ORD,-5.042105263157895
BMI,PIE,9.107142857142858
BMI,SFB,12.339622641509434
BMI,TPA,45.0
BMI,VPS,16.0
BNA,ABE,14.282051282051283
BNA,ALB,7.777777777777778
BNA,ATL,-1.7193370165745856
BNA,ATW,12.868421052631579
BNA,AUS,-0.35555555555555557
BNA,BDL,-3.077777777777778
BNA,BOI,-13.5
