origin,destination,month,avg_route_month_delay
ABQ,ATL,4,-4.482758620689655
ABQ,ATL,5,-4.818181818181818
ABQ,ATL,6,-3.3448275862068964
ABQ,ATL,7,-2.942857142857143
ABQ,ATL,8,14.292682926829269
ABQ,ATL,9,-7.321428571428571
ABQ,ATL,10,-3.92
ABQ,ATL,11,-5.0476190476190474
ABQ,ATL,12,1.2903225806451613
ABQ,AUS,1,-7.45
ABQ,AUS,2,4.25
ABQ,AUS,3,4.275862068965517
ABQ,AUS,4,0.3125
ABQ,AUS,5,21.055555555555557
ABQ,AUS,6,-3.0833333333333335
ABQ,AUS,7,-1.6923076923076923
ABQ,AUS,8,9.833333333333334
ABQ,AUS,9,1.0
ABQ,AUS,10,-1.125
ABQ,AUS,11,1.2941176470588236
ABQ,AUS,12,-1.8333333333333333
ABQ,BUR,1,-12.166666666666666
ABQ,BUR,2,22.5
ABQ,BUR,3,112.0
ABQ,BUR,4,0.75
ABQ,BUR,5,-2.75
ABQ,BUR,6,36.25
ABQ,BUR,7,13.2
ABQ,BUR,8,6.3
ABQ,BUR,9,-0.5
ABQ,BUR,10,6.666666666666667
ABQ,BUR,11,-14.666666666666666
ABQ,BUR,12,5.0
ABQ,BWI,1,-3.6666666666666665
ABQ,BWI,2,-18.0
ABQ,BWI,3,-16.9375
ABQ,BWI,4,-9.615384615384615
ABQ,BWI,5,1.6666666666666667
ABQ,BWI,6,15.923076923076923
ABQ,BWI,7,3.235294117647059
ABQ,BWI,8,5.157894736842105
ABQ,BWI,9,-7.625
ABQ,BWI,10,-15.4
ABQ,BWI,11,-8.555555555555555
ABQ,BWI,12,-12.333333333333334
ABQ,DAL,1,3.309090909090909
ABQ,DAL,2,0.7959183673469388
ABQ,DAL,3,-1.96
ABQ,DAL,4,-5.0
ABQ,DAL,5,-2.1578947368421053
ABQ,DAL,6,16.945454545454545
ABQ,DAL,7,10.453125
ABQ,DAL,8,-1.2666666666666666
ABQ,DAL,9,-2.769230769230769
ABQ,DAL,10,13.0
ABQ,DAL,11,-0.19230769230769232
ABQ,DAL,12,7.304347826086956
ABQ,DEN,1,-1.5806451612903225
ABQ,DEN,2,4.176470588235294
ABQ,DEN,3,-1.2407407407407407
ABQ,DEN,4,13.038461538461538
ABQ,DEN,5,-2.2613636363636362
ABQ,DEN,6,17.87
ABQ,DEN,7,9.68131868131868
ABQ,DEN,8,0.7961165048543689
ABQ,DEN,9,4.835820895522388
ABQ,DEN,10,6.2
ABQ,DEN,11,-5.416666666666667
ABQ,DEN,12,13.450704225352112
ABQ,DFW,1,3.309734513274336
ABQ,DFW,2,7.233333333333333
ABQ,DFW,3,6.268518518518518
ABQ,DFW,4,0.7961165048543689
ABQ,DFW,5,8.989690721649485
ABQ,DFW,6,1.7142857142857142
ABQ,DFW,7,10.942307692307692
ABQ,DFW,8,18.67676767676768
ABQ,DFW,9,13.933333333333334
ABQ,DFW,10,21.64864864864865
ABQ,DFW,11,3.7183098591549295
ABQ,DFW,12,-1.0405405405405406
ABQ,HOU,1,-3.361111111111111
ABQ,HOU,2,0.78125
ABQ,HOU,3,-0.9354838709677419
ABQ,HOU,4,-7.5
ABQ,HOU,5,7.482758620689655
ABQ,HOU,6,11.333333333333334
ABQ,HOU,7,6.55
ABQ,HOU,8,-2.3636363636363638
ABQ,HOU,9,16.68
ABQ,HOU,10,-4.0
ABQ,HOU,11,-6.0
ABQ,HOU,12,5.551724137931035
ABQ,IAH,1,-4.666666666666667
ABQ,IAH,2,1.4074074074074074
ABQ,IAH,3,-2.5
